log_id,timestamp,trace_id,src_ip,dst_ip,dst_port,dst_service_name,request_path,http_status,payload_bytes
log-0161,2026-05-18T08:03:59.973,tr-45886,185.220.101.5,10.0.1.12,443,api-gateway,/api/v1/profile,401,1183
log-0183,2026-05-18T08:04:15.579,tr-21994,10.0.3.12,10.0.5.11,9200,log-aggregator,/search,200,3478
log-0243,2026-05-18T08:04:23.377,tr-61610,10.0.3.11,10.0.5.11,9200,log-aggregator,/search,200,1179
log-0201,2026-05-18T08:04:56.137,tr-71146,10.0.3.12,10.0.5.11,9200,log-aggregator,/ingest,200,709
log-0204,2026-05-18T08:04:58.206,tr-50471,10.0.3.12,10.0.5.11,9200,log-aggregator,/health,200,3690
log-0285,2026-05-18T08:06:04.087,tr-78785,10.0.5.11,10.0.4.11,5432,customer-db,UPDATE profile,200,21267
log-0031,2026-05-18T08:06:17.175,tr-27739,185.220.101.5,10.0.1.12,443,api-gateway,/health,200,158
log-0180,2026-05-18T08:07:04.398,tr-46719,185.220.101.5,10.0.1.11,443,api-gateway,/api/v1/orders,401,1839
log-0173,2026-05-18T08:07:08.589,tr-85644,185.220.101.5,10.0.1.12,443,api-gateway,/api/v1/pay,404,5645
log-0223,2026-05-18T08:07:20.548,tr-89682,10.0.5.11,10.0.4.12,5432,customer-db,SELECT orders,200,1749
log-0293,2026-05-18T08:07:30.821,tr-95346,10.0.1.11,10.0.5.11,9200,log-aggregator,/bulk,200,1233
log-0360,2026-05-18T08:07:54.948,tr-93848,10.0.0.1,10.0.4.11,5432,customer-db,/health,200,98
log-0368,2026-05-18T08:07:55.409,tr-71721,10.0.0.1,10.0.4.12,5432,customer-db,/health,200,200
log-0018,2026-05-18T08:08:58.720,tr-81420,172.67.88.12,10.0.1.11,443,api-gateway,/metrics,200,93
log-0347,2026-05-18T08:09:22.456,tr-14460,10.0.0.1,10.0.3.11,8080,payment-svc,/health,200,191
log-0080,2026-05-18T08:10:20.220,tr-61124,203.0.113.45,10.0.1.12,443,api-gateway,/api/v1/orders,200,5529
log-0157,2026-05-18T08:10:20.758,tr-77867,172.67.88.12,10.0.1.12,443,api-gateway,/health,200,182
log-0131,2026-05-18T08:10:40.240,tr-74165,45.33.32.156,10.0.1.12,443,api-gateway,/api/v1/orders,401,3179
log-0143,2026-05-18T08:10:53.753,tr-83287,172.67.88.12,10.0.1.12,443,api-gateway,/metrics,401,242
log-0091,2026-05-18T08:11:08.461,tr-41494,185.220.101.5,10.0.1.12,443,api-gateway,/api/v1/orders,200,2643
log-0162,2026-05-18T08:11:44.122,tr-84153,162.158.0.1,10.0.1.12,443,api-gateway,/api/v1/pay,200,3584
log-0275,2026-05-18T08:12:05.332,tr-99415,10.0.1.11,10.0.3.12,8080,order-svc,/orders/list,200,2937
log-0284,2026-05-18T08:12:05.439,tr-55141,10.0.1.12,10.0.3.11,8080,payment-svc,/pay/history,201,3460
log-0252,2026-05-18T08:12:09.648,tr-70314,10.0.2.12,10.0.5.12,6379,cache-service,GET profile,200,295
log-0209,2026-05-18T08:12:13.065,tr-20383,10.0.1.12,10.0.3.12,8080,order-svc,/orders/update,200,4053
log-0286,2026-05-18T08:12:34.421,tr-93097,10.0.5.11,10.0.4.12,5432,customer-db,SELECT users,200,12488
log-0308,2026-05-18T08:12:42.988,tr-63991,10.0.1.12,10.0.5.11,9200,log-aggregator,/health,200,3445
log-0014,2026-05-18T08:12:48.042,tr-61808,172.67.88.12,10.0.1.11,443,api-gateway,/api/v1/search,200,898
log-0337,2026-05-18T08:12:57.913,tr-43872,10.0.0.1,10.0.2.11,8080,auth-service,/health,200,272
log-0232,2026-05-18T08:13:05.982,tr-67162,10.0.1.11,10.0.3.12,8080,order-svc,/orders/list,200,4022
log-0065,2026-05-18T08:13:18.154,tr-64876,45.33.32.156,10.0.1.12,443,api-gateway,/health,200,155
log-0213,2026-05-18T08:13:21.192,tr-21648,10.0.1.11,10.0.5.11,9200,log-aggregator,/bulk,503,3353
log-0188,2026-05-18T08:13:36.250,tr-78854,10.0.2.12,10.0.5.12,6379,cache-service,GET profile,200,496
log-0358,2026-05-18T08:13:46.246,tr-27733,10.0.0.1,10.0.4.11,5432,customer-db,/health,200,113
log-0127,2026-05-18T08:13:49.289,tr-24185,193.32.127.92,10.0.1.12,443,api-gateway,/health,200,284
log-0257,2026-05-18T08:14:06.078,tr-39564,10.0.3.11,10.0.5.11,9200,log-aggregator,/bulk,200,2895
log-0336,2026-05-18T08:14:34.768,tr-98849,10.0.0.1,10.0.2.11,8080,auth-service,/health,200,281
log-0282,2026-05-18T08:14:44.474,tr-80424,10.0.1.11,10.0.3.11,8080,payment-svc,/pay/status,200,4768
log-0214,2026-05-18T08:14:51.301,tr-82078,10.0.1.11,10.0.5.11,9200,log-aggregator,/ingest,500,994
log-0179,2026-05-18T08:15:12.041,tr-25620,162.158.0.1,10.0.1.12,443,api-gateway,/api/v1/pay,200,3802
log-0404,2026-05-18T08:15:13.138,tr-81239,185.220.101.5,10.0.2.11,443,auth-service,/auth/token,401,4647
log-0071,2026-05-18T08:15:13.381,tr-33368,203.0.113.45,10.0.1.11,443,api-gateway,/metrics,200,284
log-0174,2026-05-18T08:15:17.516,tr-52682,198.51.100.77,10.0.1.12,443,api-gateway,/api/v1/orders,200,3800
log-0029,2026-05-18T08:15:32.680,tr-87906,198.51.100.77,10.0.1.11,443,api-gateway,/api/v1/orders,200,4677
log-0299,2026-05-18T08:15:48.040,tr-85472,10.0.2.11,10.0.5.12,6379,cache-service,SET session,201,561
log-0027,2026-05-18T08:15:50.521,tr-23919,5.188.210.33,10.0.1.11,443,api-gateway,/metrics,200,287
log-0270,2026-05-18T08:16:06.440,tr-71920,10.0.1.12,10.0.3.12,8080,order-svc,/orders/cancel,200,3282
log-0155,2026-05-18T08:16:18.091,tr-82026,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/pay,200,1682
log-0172,2026-05-18T08:16:27.924,tr-51626,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/orders,200,4787
log-0090,2026-05-18T08:16:28.626,tr-15103,203.0.113.45,10.0.1.12,443,api-gateway,/health,200,99
log-0379,2026-05-18T08:16:36.764,tr-32387,10.0.0.1,10.0.5.12,6379,cache-service,/health,200,86
log-0203,2026-05-18T08:17:15.901,tr-91559,10.0.3.11,10.0.4.11,5432,customer-db,SELECT orders,200,14842
log-0230,2026-05-18T08:17:19.343,tr-66691,10.0.2.11,10.0.4.12,5432,customer-db,INSERT order,200,15678
log-0194,2026-05-18T08:17:25.959,tr-16063,10.0.2.12,10.0.5.12,6379,cache-service,SET session,200,711
log-0250,2026-05-18T08:17:27.438,tr-11173,10.0.1.12,10.0.2.12,8080,auth-service,/auth/token,200,3460
log-0101,2026-05-18T08:17:31.690,tr-62521,5.188.210.33,10.0.1.12,443,api-gateway,/metrics,200,287
log-0153,2026-05-18T08:17:58.301,tr-44851,104.21.55.33,10.0.1.12,443,api-gateway,/api/v1/pay,200,1701
log-0013,2026-05-18T08:18:13.179,tr-40121,193.32.127.92,10.0.1.11,443,api-gateway,/health,200,240
log-0033,2026-05-18T08:19:09.160,tr-83144,104.21.55.33,10.0.1.12,443,api-gateway,/api/v1/profile,200,5602
log-0236,2026-05-18T08:19:19.200,tr-50337,10.0.1.12,10.0.3.12,8080,order-svc,/orders/create,200,1945
log-0147,2026-05-18T08:19:32.780,tr-58529,185.220.101.5,10.0.1.12,443,api-gateway,/api/v1/search,200,4447
log-0010,2026-05-18T08:19:33.910,tr-61729,198.51.100.77,10.0.1.12,443,api-gateway,/metrics,200,231
log-0228,2026-05-18T08:19:37.409,tr-21720,10.0.1.12,10.0.3.11,8080,payment-svc,/pay/charge,200,5660
log-0099,2026-05-18T08:19:51.174,tr-56592,45.33.32.156,10.0.1.12,443,api-gateway,/health,200,155
log-0133,2026-05-18T08:19:57.331,tr-12444,193.32.127.92,10.0.1.12,443,api-gateway,/api/v1/pay,200,3918
log-0244,2026-05-18T08:20:36.479,tr-32632,10.0.2.11,10.0.4.12,5432,customer-db,UPDATE profile,503,2198
log-0003,2026-05-18T08:20:40.178,tr-70796,185.220.101.5,10.0.1.11,443,api-gateway,/api/v1/search,401,5411
log-0362,2026-05-18T08:20:48.745,tr-72089,10.0.0.1,10.0.4.11,5432,customer-db,/health,200,178
log-0359,2026-05-18T08:21:13.866,tr-88019,10.0.0.1,10.0.4.11,5432,customer-db,/health,200,243
log-0060,2026-05-18T08:21:27.985,tr-29628,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/profile,200,4711
log-0184,2026-05-18T08:21:57.639,tr-64909,10.0.3.11,10.0.4.12,5432,customer-db,SELECT orders,200,24864
log-0341,2026-05-18T08:23:01.224,tr-23546,10.0.0.1,10.0.2.12,8080,auth-service,/health,200,101
log-0405,2026-05-18T08:23:46.257,tr-24578,172.67.88.12,10.0.3.11,443,payment-svc,/pay/charge,500,5082
log-0325,2026-05-18T08:24:26.438,tr-67017,10.0.0.1,10.0.1.11,443,api-gateway,/health,200,83
log-0046,2026-05-18T08:24:40.340,tr-76629,5.188.210.33,10.0.1.11,443,api-gateway,/api/v1/search,200,3757
log-0051,2026-05-18T08:25:26.998,tr-86621,198.51.100.77,10.0.1.12,443,api-gateway,/api/v1/search,200,3507
log-0166,2026-05-18T08:25:49.590,tr-11772,203.0.113.45,10.0.1.12,443,api-gateway,/api/v1/orders,200,2971
log-0253,2026-05-18T08:26:24.486,tr-37968,10.0.1.12,10.0.2.12,8080,auth-service,/auth/logout,200,1504
log-0288,2026-05-18T08:27:07.472,tr-43293,10.0.5.11,10.0.4.12,5432,customer-db,INSERT order,200,7279
log-0110,2026-05-18T08:27:12.142,tr-72580,104.21.55.33,10.0.1.12,443,api-gateway,/health,200,290
log-0380,2026-05-18T08:27:48.225,tr-28046,10.0.0.1,10.0.5.12,6379,cache-service,/health,200,225
log-0348,2026-05-18T08:28:11.822,tr-93249,10.0.0.1,10.0.3.11,8080,payment-svc,/health,200,136
log-0181,2026-05-18T08:28:25.922,tr-99897,10.0.2.12,10.0.5.12,6379,cache-service,GET profile,200,487
log-0342,2026-05-18T08:28:52.110,tr-61458,10.0.0.1,10.0.2.12,8080,auth-service,/health,200,105
log-0313,2026-05-18T08:29:02.325,tr-51732,10.0.1.11,10.0.3.11,8080,payment-svc,/pay/refund,200,2831
log-0239,2026-05-18T08:29:11.964,tr-88925,10.0.1.12,10.0.2.11,8080,auth-service,/auth/verify,200,5338
log-0189,2026-05-18T08:29:25.047,tr-60801,10.0.3.12,10.0.5.11,9200,log-aggregator,/health,200,2734
log-0187,2026-05-18T08:29:28.014,tr-76989,10.0.3.12,10.0.4.12,5432,customer-db,UPDATE profile,503,9059
log-0056,2026-05-18T08:29:28.403,tr-12669,162.158.0.1,10.0.1.12,443,api-gateway,/api/v1/pay,401,5349
log-0088,2026-05-18T08:29:33.717,tr-50030,172.67.88.12,10.0.1.12,443,api-gateway,/api/v1/profile,200,3760
log-0023,2026-05-18T08:29:43.642,tr-62770,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/profile,200,1992
log-0266,2026-05-18T08:29:59.187,tr-62879,10.0.3.11,10.0.5.11,9200,log-aggregator,/bulk,200,3057
log-0121,2026-05-18T08:30:35.785,tr-74585,104.21.55.33,10.0.1.11,443,api-gateway,/api/v1/orders,200,1513
log-0154,2026-05-18T08:30:55.210,tr-26889,5.188.210.33,10.0.1.12,443,api-gateway,/health,500,82
log-0318,2026-05-18T08:31:00.012,tr-13938,10.0.3.11,10.0.5.11,9200,log-aggregator,/ingest,200,1702
log-0278,2026-05-18T08:31:02.083,tr-12725,10.0.1.12,10.0.3.11,8080,payment-svc,/pay/charge,200,2884
log-0353,2026-05-18T08:32:18.339,tr-82797,10.0.0.1,10.0.3.12,8080,order-svc,/health,200,204
log-0268,2026-05-18T08:32:53.816,tr-96444,10.0.1.11,10.0.3.11,8080,payment-svc,/pay/status,200,2432
log-0320,2026-05-18T08:33:27.596,tr-80808,10.0.2.12,10.0.4.12,5432,customer-db,SELECT orders,200,8554
log-0047,2026-05-18T08:33:53.582,tr-87941,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/login,200,612
log-0363,2026-05-18T08:34:06.967,tr-57137,10.0.0.1,10.0.4.12,5432,customer-db,/health,200,129
log-0191,2026-05-18T08:34:30.406,tr-54058,10.0.3.11,10.0.4.11,5432,customer-db,UPDATE profile,200,20164
log-0350,2026-05-18T08:34:35.607,tr-46182,10.0.0.1,10.0.3.11,8080,payment-svc,/health,200,132
log-0352,2026-05-18T08:34:39.646,tr-55239,10.0.0.1,10.0.3.12,8080,order-svc,/health,200,177
log-0138,2026-05-18T08:34:56.241,tr-15627,193.32.127.92,10.0.1.11,443,api-gateway,/api/v1/search,201,1802
log-0327,2026-05-18T08:35:07.302,tr-18905,10.0.0.1,10.0.1.12,443,api-gateway,/health,200,180
log-0258,2026-05-18T08:35:10.541,tr-65400,10.0.1.12,10.0.3.12,8080,order-svc,/orders/list,200,2595
log-0343,2026-05-18T08:35:43.637,tr-69543,10.0.0.1,10.0.2.12,8080,auth-service,/health,200,170
log-0137,2026-05-18T08:36:30.351,tr-92089,198.51.100.77,10.0.1.11,443,api-gateway,/api/v1/login,200,3676
log-0263,2026-05-18T08:36:53.287,tr-56652,10.0.1.11,10.0.2.11,8080,auth-service,/auth/refresh,200,1200
log-0292,2026-05-18T08:36:55.032,tr-54859,10.0.1.12,10.0.3.11,8080,payment-svc,/pay/refund,200,5928
log-0096,2026-05-18T08:36:55.369,tr-10657,193.32.127.92,10.0.1.11,443,api-gateway,/metrics,404,299
log-0123,2026-05-18T08:36:56.040,tr-87904,185.220.101.5,10.0.1.12,443,api-gateway,/metrics,200,137
log-0211,2026-05-18T08:37:00.177,tr-45125,10.0.3.11,10.0.5.11,9200,log-aggregator,/bulk,200,3779
log-0086,2026-05-18T08:37:10.998,tr-92558,45.33.32.156,10.0.1.12,443,api-gateway,/metrics,200,213
log-0245,2026-05-18T08:37:33.220,tr-56021,10.0.3.11,10.0.4.12,5432,customer-db,SELECT users,200,10559
log-0156,2026-05-18T08:37:37.916,tr-19747,172.67.88.12,10.0.1.11,443,api-gateway,/api/v1/orders,200,3031
log-0097,2026-05-18T08:37:39.457,tr-20510,91.108.4.22,10.0.1.12,443,api-gateway,/metrics,201,95
log-0375,2026-05-18T08:37:56.913,tr-43035,10.0.0.1,10.0.5.12,6379,cache-service,/health,200,202
log-0378,2026-05-18T08:38:00.573,tr-29617,10.0.0.1,10.0.5.12,6379,cache-service,/health,200,147
log-0117,2026-05-18T08:38:18.327,tr-69372,91.108.4.22,10.0.1.12,443,api-gateway,/metrics,429,150
log-0265,2026-05-18T08:38:21.273,tr-25766,10.0.1.12,10.0.3.12,8080,order-svc,/orders/update,200,4514
log-0170,2026-05-18T08:38:39.984,tr-44768,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/profile,404,1949
log-0276,2026-05-18T08:38:48.598,tr-71042,10.0.3.11,10.0.4.12,5432,customer-db,UPDATE profile,200,3389
log-0254,2026-05-18T08:38:58.857,tr-46472,10.0.1.12,10.0.2.11,8080,auth-service,/auth/verify,200,3155
log-0075,2026-05-18T08:39:00.363,tr-74558,45.33.32.156,10.0.1.12,443,api-gateway,/api/v1/pay,200,3402
log-0032,2026-05-18T08:39:04.262,tr-25721,172.67.88.12,10.0.1.12,443,api-gateway,/api/v1/search,200,5965
log-0089,2026-05-18T08:39:08.673,tr-16525,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/profile,401,5490
log-0196,2026-05-18T08:39:09.813,tr-22029,10.0.1.12,10.0.3.12,8080,order-svc,/orders/create,200,4028
log-0068,2026-05-18T08:39:10.649,tr-15883,193.32.127.92,10.0.1.12,443,api-gateway,/api/v1/login,200,3355
log-0249,2026-05-18T08:39:13.687,tr-25893,10.0.1.12,10.0.5.11,9200,log-aggregator,/health,200,3689
log-0241,2026-05-18T08:40:14.041,tr-27336,10.0.3.11,10.0.4.12,5432,customer-db,SELECT orders,201,4435
log-0267,2026-05-18T08:40:56.986,tr-72007,10.0.3.12,10.0.4.12,5432,customer-db,INSERT order,200,15744
log-0215,2026-05-18T08:41:07.123,tr-53344,10.0.5.11,10.0.4.12,5432,customer-db,SELECT orders,503,9904
log-0235,2026-05-18T08:41:18.577,tr-66465,10.0.3.11,10.0.4.11,5432,customer-db,INSERT order,200,19658
log-0109,2026-05-18T08:41:30.919,tr-68835,162.158.0.1,10.0.1.12,443,api-gateway,/api/v1/login,200,2533
log-0041,2026-05-18T08:41:39.427,tr-26895,162.158.0.1,10.0.1.11,443,api-gateway,/api/v1/orders,200,618
log-0370,2026-05-18T08:42:08.510,tr-87068,10.0.0.1,10.0.5.11,9200,log-aggregator,/health,200,120
log-0324,2026-05-18T08:42:20.218,tr-21806,10.0.0.1,10.0.1.11,443,api-gateway,/health,200,98
log-0322,2026-05-18T08:42:20.444,tr-95742,10.0.0.1,10.0.1.11,443,api-gateway,/health,200,105
log-0323,2026-05-18T08:42:39.916,tr-36408,10.0.0.1,10.0.1.11,443,api-gateway,/health,200,287
log-0311,2026-05-18T08:42:56.152,tr-43163,10.0.1.12,10.0.2.11,8080,auth-service,/auth/refresh,200,2551
log-0386,2026-05-18T08:43:31.163,tr-83168,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,503,5714
log-0387,2026-05-18T08:43:33.028,tr-83168,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,500,4269
log-0388,2026-05-18T08:43:35.221,tr-83168,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,500,5737
log-0389,2026-05-18T08:43:37.001,tr-83168,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,503,1797
log-0390,2026-05-18T08:43:39.943,tr-83168,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,500,712
log-0391,2026-05-18T08:43:53.320,tr-70815,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/login,200,2928
log-0392,2026-05-18T08:43:55.659,tr-70815,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/login,503,2021
log-0393,2026-05-18T08:43:57.316,tr-70815,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/login,503,2038
log-0394,2026-05-18T08:43:59.305,tr-70815,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/login,200,1911
log-0303,2026-05-18T08:44:01.720,tr-38689,10.0.1.12,10.0.3.12,8080,order-svc,/orders/update,200,4096
log-0395,2026-05-18T08:44:01.943,tr-70815,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/login,500,4674
log-0396,2026-05-18T08:44:03.108,tr-70815,45.33.32.156,10.0.1.11,443,api-gateway,/api/v1/login,503,1799
log-0338,2026-05-18T08:44:09.123,tr-26193,10.0.0.1,10.0.2.11,8080,auth-service,/health,200,227
log-0273,2026-05-18T08:44:46.027,tr-94268,10.0.1.11,10.0.3.11,8080,payment-svc,/pay/refund,201,2621
log-0231,2026-05-18T08:44:59.725,tr-82902,10.0.1.11,10.0.5.11,9200,log-aggregator,/bulk,200,3085
log-0280,2026-05-18T08:45:51.698,tr-93423,10.0.3.12,10.0.4.12,5432,customer-db,SELECT orders,200,10032
log-0064,2026-05-18T08:45:54.480,tr-67723,162.158.0.1,10.0.1.12,443,api-gateway,/api/v1/pay,201,4503
log-0126,2026-05-18T08:45:58.521,tr-68154,5.188.210.33,10.0.1.11,443,api-gateway,/metrics,500,132
log-0264,2026-05-18T08:46:15.945,tr-94600,10.0.1.12,10.0.5.11,9200,log-aggregator,/health,200,2017
log-0227,2026-05-18T08:47:00.579,tr-61975,10.0.5.11,10.0.4.11,5432,customer-db,SELECT orders,200,1850
log-0134,2026-05-18T08:47:12.864,tr-27179,5.188.210.33,10.0.1.11,443,api-gateway,/metrics,200,93
log-0222,2026-05-18T08:47:50.069,tr-81251,10.0.1.12,10.0.2.12,8080,auth-service,/auth/refresh,200,2491
log-0085,2026-05-18T08:48:18.546,tr-37022,198.51.100.77,10.0.1.12,443,api-gateway,/health,429,163
log-0044,2026-05-18T08:48:19.575,tr-34939,104.21.55.33,10.0.1.11,443,api-gateway,/api/v1/profile,201,876
log-0132,2026-05-18T08:48:57.369,tr-12757,162.158.0.1,10.0.1.11,443,api-gateway,/api/v1/orders,200,797
log-0381,2026-05-18T08:49:19.260,tr-55576,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,503,2735
log-0382,2026-05-18T08:49:21.178,tr-55576,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,503,2005
log-0383,2026-05-18T08:49:23.227,tr-55576,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,200,2818
log-0384,2026-05-18T08:49:25.052,tr-55576,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,200,625
log-0385,2026-05-18T08:49:27.908,tr-55576,91.108.4.22,10.0.1.12,443,api-gateway,/api/v1/pay,503,5215
log-0136,2026-05-18T08:49:48.867,tr-51089,198.51.100.77,10.0.1.12,443,api-gateway,/api/v1/profile,404,1788
log-0297,2026-05-18T08:50:01.020,tr-99808,10.0.2.12,10.0.5.12,6379,cache-service,GET profile,200,382
log-0102,2026-05-18T08:50:08.065,tr-50059,193.32.127.92,10.0.1.12,443,api-gateway,/metrics,404,193
log-0141,2026-05-18T08:50:28.244,tr-19111,172.67.88.12,10.0.1.12,443,api-gateway,/api/v1/orders,200,4982
log-0063,2026-05-18T08:51:03.175,tr-15537,198.51.100.77,10.0.1.11,443,api-gateway,/api/v1/search,200,4421
log-0178,2026-05-18T08:51:03.333,tr-17229,172.67.88.12,10.0.1.12,443,api-gateway,/health,404,253
log-0326,2026-05-18T08:51:03.397,tr-48153,10.0.0.1,10.0.1.11,443,api-gateway,/health,200,243
log-0182,2026-05-18T08:51:34.278,tr-25684,10.0.1.12,10.0.2.11,8080,auth-service,/auth/logout,200,976
log-0007,2026-05-18T08:52:10.686,tr-77922,91.108.4.22,10.0.1.11,443,api-gateway,/health,201,213
log-0355,2026-05-18T08:52:14.962,tr-80037,10.0.0.1,10.0.3.12,8080,order-svc,/health,200,119
log-0271,2026-05-18T08:53:17.085,tr-15179,10.0.2.12,10.0.4.11,5432,customer-db,SELECT users,200,18849
log-0036,2026-05-18T08:53:25.588,tr-64984,172.67.88.12,10.0.1.11,443,api-gateway,/health,200,85
log-0366,2026-05-18T08:53:40.865,tr-35042,10.0.0.1,10.0.4.12,5432,customer-db,/health,200,271
log-0037,2026-05-18T08:53:48.345,tr-77135,185.220.101.5,10.0.1.12,443,api-gateway,/api/v1/profile,401,3783
log-0163,2026-05-18T08:53:53.459,tr-32310,45.33.32.156,10.0.1.12,443,api-gateway,/api/v1/profile,200,2596
log-0269,2026-05-18T08:54:42.049,tr-29098,10.0.3.12,10.0.5.11,9200,log-aggregator,/bulk,200,2528
log-0035,2026-05-18T08:54:45.233,tr-26122,162.158.0.1,10.0.1.11,443,api-gateway,/api/v1/pay,200,2234
log-0028,2026-05-18T08:54:58.749,tr-88519,203.0.113.45,10.0.1.11,443,api-gateway,/metrics,200,284
log-0290,2026-05-18T08:55:27.670,tr-36457,10.0.1.12,10.0.5.11,9200,log-aggregator,/bulk,200,546
log-0148,2026-05-18T08:55:34.222,tr-91019,91.108.4.22,10.0.1.11,443,api-gateway,/api/v1/pay,404,5689
log-0219,2026-05-18T08:56:04.334,tr-74185,10.0.1.11,10.0.3.11,8080,payment-svc,/pay/history,200,4919
log-0329,2026-05-18T08:56:20.491,tr-27163,10.0.0.1,10.0.1.12,443,api-gateway,/health,200,280
log-0333,2026-05-18T08:56:24.142,tr-72753,10.0.0.1,10.0.2.11,8080,auth-service,/health,200,174
log-0334,2026-05-18T08:56:55.722,tr-19416,10.0.0.1,10.0.2.11,8080,auth-service,/health,200,208
log-0167,2026-05-18T08:57:07.253,tr-45415,198.51.100.77,10.0.1.12,443,api-gateway,/api/v1/login,200,5909
log-0087,2026-05-18T08:57:33.083,tr-10735,185.220.101.5,10.0.1.11,443,api-gateway,/api/v1/pay,401,3219
log-0038,2026-05-18T08:58:19.476,tr-23206,203.0.113.45,10.0.1.12,443,api-gateway,/health,200,132
log-0072,2026-05-18T08:58:30.475,tr-56068,185.220.101.5,10.0.1.11,443,api-gateway,/api/v1/pay,201,2023
log-0066,2026-05-18T08:58:41.003,tr-28127,45.33.32.156,10.0.1.11,443,api-gateway,/health,404,146
log-0094,2026-05-18T08:58:50.046,tr-13727,203.0.113.45,10.0.1.11,443,api-gateway,/metrics,401,246
log-0377,2026-05-18T08:59:53.238,tr-35452,10.0.0.1,10.0.5.12,6379,cache-service,/health,200,177
log-0168,2026-05-18T08:59:54.288,tr-98263,162.158.0.1,10.0.1.12,443,api-gateway,/api/v1/pay,200,1228
log-0057,2026-05-18T08:59:58.942,tr-72196,172.67.88.12,10.0.1.11,443,api-gateway,/health,200,96
log-0092,2026-05-18T09:00:33.668,tr-77070,5.188.210.33,10.0.1.12,443,api-gateway,/api/v1/orders,201,5671
log-0185,2026-05-18T09:00:55.660,tr-51212,10.0.1.11,10.0.3.12,8080,order-svc,/orders/list,500,4915
log-0055,2026-05-18T09:01:07.977,tr-54457,104.21.55.33,10.0.1.11,443,api-gateway,/api/v1/login,200,3450
log-0217,2026-05-18T09:01:29.717,tr-51592,10.0.3.12,10.0.5.11,9200,log-aggregator,/bulk,200,2804
log-0277,2026-05-18T09:01:52.253,tr-66804,10.0.1.12,10.0.2.12,8080,auth-service,/auth/verify,200,2669
log-0151,2026-05-18T09:02:00.008,tr-11035,162.158.0.1,10.0.1.11,443,api-gateway,/health,200,86
log-0251,2026-05-18T09:02:53.724,tr-99780,10.0.3.11,10.0.5.11,9200,log-aggregator,/bulk,200,326
